health,status,index,uuid,pri,rep,docs.count_x,docs.deleted_x,store.size,pri.store.size,deleted_to_count_ratio,shard,prirep,ip,segment,generation,docs.count_y,docs.deleted_y,size,size.memory,committed,searchable,version,compound,segments_count,TenantId,Tenant,Business,Technical,Marketplace,Total,mean_size,variance_size,95th_percentile_size,std_dev_size(mb)
green,open,devprod-9ibyw4vm3etgvfclpfcsob-mkg_document_store-ccgf-contentv2,ya7lsuLkQwii91velCrhzg,1,1,604808698,9204393,714649.6,357376.0,1.52,0,p,x.x.x.x,_8ep,10897,8667787,115932,4812.8,2178894,true,true,8.2.0,false,241.0,9ibyw4vm3etgvfclpfcsob,ScannerQE_Longivity,0,"255,817,889",0,255M,2932.42489626556,4926069.484850931,4915.2,2219.4750471341035
green,open,devprod-4kkblzb73mzg0zbb6jorms-mkg_document_store-ccgf-contentv2,7dLTnLH5Qz20mqrXecVTyQ,1,1,83416133,27145599,161894.4,80896.0,32.54,0,p,x.x.x.x,_9wa,12826,9592217,631251,5120.0,2737702,true,true,8.2.0,false,53.0,4kkblzb73mzg0zbb6jorms,31July_Perf_QE1,"3,960","53,145,776",0,53M,3032.603773584906,61883776.50729316,5427.2,7866.624212919615
green,open,devprod-1bsgqul1hlyimudmtsazcw-mkg_document_store-ccgf-contentv2,G8ocBwAASFe1sw_SanoWeQ,1,1,77173393,5233457,101273.6,50073.6,6.78,0,r,x.x.x.x,_9sg,12688,8874536,634727,5017.6,2576318,true,true,8.2.0,false,81.0,1bsgqul1hlyimudmtsazcw,31July_Perf_QE2,0,"28,098,656",0,28M,1243.956172839506,13242294.22423392,5017.6,3638.9963209975795
green,open,devprod-hm9iyez4jwvhxxpqan3tez-mkg_document_store-ccgf-contentv2,BaL9uhrSRSq1z9ULb_Q1ww,1,1,211118516,1067700,73318.4,36556.8,0.51,0,r,x.x.x.x,_d3c,16968,52469729,365277,4915.2,3332990,true,true,8.2.0,false,83.0,hm9iyez4jwvhxxpqan3tez,perf_dnd_09,"55,407","26,363,665",8,26M,873.9075903614458,2751106.772118513,4812.8,1658.6460659581696
green,open,devprod-4dbtbchsfvufu2u0v9ueep-mkg_document_store-ccgf-contentv2,3OXqR9zJSEq-S1YkS_GjfQ,1,1,147581600,548881,48435.2,24268.8,0.37,0,r,x.x.x.x,_e4e,18302,48542728,73909,4915.2,3218070,true,true,8.2.0,false,83.0,4dbtbchsfvufu2u0v9ueep,perf_dnd_05,"256,214","16,336,781",8,16M,581.2251807228917,2062391.9300691732,4915.2,1436.103036021153
green,open,devprod-3bwt0ycyf89lnzel4iqfkd-mkg_document_store-ccgf-contentv2,-xmpOGTCR5KakdFdS0CZyQ,1,1,61847066,2339338,47923.2,24166.4,3.78,0,r,x.x.x.x,_5rj,7471,6797267,4603,2764.8,1387380,true,true,8.2.0,false,69.0,3bwt0ycyf89lnzel4iqfkd,perf_dnd_july_07,"8,409","19,271,419",0,19M,690.0692753623189,1818800.7713009373,4382.719999999995,1348.6292193560605
green,open,devprod-6b9com07ka3eq1ffckchwu-mkg_document_store-ccgf-contentv2,ktkq2aJUQOWQx9fjSNAh2g,1,1,130493897,920362,45568.0,22732.8,0.71,0,r,x.x.x.x,_e8v,18463,37213648,180806,4915.2,3087390,true,true,8.2.0,false,92.0,6b9com07ka3eq1ffckchwu,perf_dnd_43,"183,402","15,177,078",8,15M,490.87913043478255,1547223.287049784,4812.8,1243.8743051650292
green,open,devprod-6uwtm55xjnmgmleiv4iyyz-mkg_document_store-ccgf-contentv2,0F4GFjCdRx6yLK6-PhgxpA,1,1,42244717,311284,44953.6,22425.6,0.74,0,r,x.x.x.x,_e33,18255,9478861,4798,5017.6,2419172,true,true,8.2.0,false,48.0,6uwtm55xjnmgmleiv4iyyz,perf_dnd_apr_01,0,0,0,23M,927.6470833333333,3202748.5896551413,4812.8,1789.6224712645796
green,open,devprod-1hgspnwbj1dejrxhntgokq-mkg_document_store-ccgf-contentv2,OxAIHaIGQGCH3Q_9fEi4Lw,1,1,145591245,565158,44646.4,22323.2,0.39,0,p,x.x.x.x,_d84,17140,55467767,81707,4915.2,3344678,true,true,8.2.0,false,63.0,1hgspnwbj1dejrxhntgokq,perf_dnd_40,705,"15,621,282",8,15M,703.8988888888888,2641245.226768101,5007.360000000001,1625.1908278008773
green,open,devprod-gwhhiuucfmzizbcllf8ser-mkg_document_store-ccgf-contentv2,_-dKBBZCTIiXk2Dwdo6dHw,1,1,146971715,680736,43520.0,21708.8,0.46,0,r,x.x.x.x,_d1r,16911,56142614,77052,4915.2,3401758,true,true,8.2.0,false,81.0,gwhhiuucfmzizbcllf8ser,perf_dnd_07,"233,030","14,759,733",8,14M,533.2890123456791,2053986.3436315116,4812.8,1433.1735218149656
green,open,devprod-8j0osry5bm2ewktaaxwbyw-mkg_document_store-ccgf-contentv2,P_pe5OtySpKs7YOxm5h8KQ,1,1,23809300,60489,39628.8,19763.2,0.25,0,p,x.x.x.x,_139p,50893,4857756,44571,4505.6,1828852,true,true,8.2.0,false,52.0,8j0osry5bm2ewktaaxwbyw,06July_Performance_QE,0,"19,983,815",0,19M,758.3826923076923,8162840.638153394,4505.6,2857.068539281722
green,open,devprod-bxp3ttfmjwxcgaj1pprhmd-mkg_document_store-ccgf-contentv2,fOZpWj-DQDSmLyAFzKfBnA,1,1,142751831,435696,39424.0,19660.8,0.31,0,p,x.x.x.x,_bsx,15297,48935533,85324,4915.2,3507566,true,true,8.2.0,false,58.0,bxp3ttfmjwxcgaj1pprhmd,perf_dnd_38,295,"7,872,846",8,7M,673.5834482758621,2251263.4662966714,5017.6,1500.4210963248522
green,open,devprod-0ql26wn1ogibn7lmg0zes0-mkg_document_store-ccgf-contentv2,YTr453p3St2a1_dIhLCAuQ,1,1,180210615,86292,38809.6,19353.6,0.05,0,p,x.x.x.x,_b9w,14612,57727646,85291,5017.6,3440982,true,true,8.2.0,false,16.0,0ql26wn1ogibn7lmg0zes0,perf_dnd_13,"3,739","11,065,170",8,11M,2400.1375000000003,5865028.007833333,5017.6,2421.781990153807
