TenantId,Objects,Relationship
01Aug_Platform_QE,10,9
02Aug_CDMP_QE2,"3,46,910","5,74,173"
02July_DataPrep_dev,"18,386","18,396"
02Jun-Search-CD,0,0
02july_CLAIRE_Testing,"37,30,790","24,524"
04April_CDGCProfiling,"1,07,41,798","93,74,320"
04April_CDMP_PERF_QE,"1,32,600","2,33,670"
04JULY_AdvScannerQE,"2,076","2,771"
04JULY_Hive_ScannerQE,"79,48,306","61,83,158"
04Jul_MKG_QE,"6,58,427","5,80,165"
04Sept_CDMP_QE,250,240
05Apr_Perf_QE,"2,42,32,182","2,14,00,163"
05July_AdvScannerQE,"87,73,892","23,95,474"
05July_Scanner_QE2,"4,17,658","4,25,462"
05July_Scanner_QE3,"55,71,533","5,33,315"
05May_MDXScanner_DEV,50,45
05Sep_Platform_QE,"6,529","8,136"
06Apr_CDMP_Dev,"53,351","50,629"
06July_CDMP_QE,"57,593","62,225"
06July_DEV_01,"30,71,266","30,88,618"
06July_Perf_QE,"25,58,276","24,27,788"
06July_Performance_QE,"1,99,83,825","38,25,473"
06July_Performance_QE1,"5,88,939","8,99,689"
06July_Performance_QE2,"65,89,794","66,85,559"
06Sept_MKG_PublicAPI_Auto,"1,040","2,268"
06_aug_scannerqe_ebf,"28,090","41,008"
07April_AdvScanner_QE,"12,442","16,890"
09may_icd_qe,"84,908","84,914"
10Aug_Globalization,92,91
10July_BulkImport_QE,34,2
11Aug_AdvScanner_QE_1,"2,30,342","3,09,131"
11Aug_AdvScanner_QE_2,"9,80,856","14,81,504"
11Jan_Scanner_QE2,"23,37,119","25,27,262"
11aug_ScyllaDb_check,"3,406","5,157"
12Apr_DataPrepQE,"1,02,545","1,02,569"
13June_BulkImport_MKG_CD,239,67
13June_Perf_QE_01,"21,34,310","21,23,359"
13June_Perf_QE_02,"64,38,713","60,78,603"
13June_Perf_QE_03,"32,76,866","32,97,783"
13June_Perf_QE_04,"27,66,766","26,79,683"
13June_Perf_QE_05,"33,78,667","31,94,580"
13June_Perf_QE_07,"38,88,577","39,15,489"
13June_Perf_QE_08,"39,90,684","39,15,594"
13June_Perf_QE_09,"50,48,776","48,40,171"
13June_Perf_QE_10,"50,10,717","50,48,616"
13June_Perf_QE_11,"54,28,733","52,64,620"
13June_Perf_QE_12,"51,22,830","48,52,718"
13June_Perf_QE_13,"52,30,122","49,55,929"
13June_Perf_QE_14,"57,24,390","55,63,287"
13June_Perf_QE_15,"62,34,392","58,72,285"
13June_Perf_QE_16,"58,26,393","56,66,289"
13June_Perf_QE_17,"64,93,262","64,21,010"
13June_Perf_QE_18,"69,68,125","67,09,013"
13June_Perf_QE_19,"61,32,388","55,63,279"
13June_Perf_QE_20,"60,30,491","58,72,390"
13June_Perf_QE_21,"80,70,763","77,26,636"
13June_Perf_QE_22,"80,70,447","78,29,323"
13June_Perf_QE_23,"80,70,448","77,26,321"
13June_Perf_QE_24,"81,72,448","80,35,327"
13June_Perf_QE_25,"80,70,551","77,26,426"
13June_Perf_QE_26,"81,72,449","79,32,325"
13June_Perf_QE_27,"1,02,12,461","96,83,327"
13June_Perf_QE_28,"1,01,10,469","98,89,339"
13June_Perf_QE_29,"1,01,10,497","96,83,351"
13June_Perf_QE_30,"1,04,16,479","1,03,01,347"
14Aug_CDMP_PERF_QE,"1,30,404","2,32,263"
14Dec_Scanner_QE,"13,53,211","26,65,733"
14Dec_Scanner_QE1,"2,72,550","4,02,652"
14July_Perf_QE,"68,52,784","99,23,476"
14July_Perf_QE01,"29,27,733","29,09,498"
14June_Scanner_QE,"95,05,965","1,15,83,271"
15Dec_Scanner_QE,"9,07,933","7,88,214"
16Aug_IICS_QE,1,0
16Aug_PlatformQE_01,61,9
16Aug_PlatformQE_02,10,9
16June_CDGCUI_01,"8,36,878","9,95,128"
16June_Performance_QE,10,9
16aug_claire_July,"2,762","3,759"
16aug_search_dev,10,9
17aug_Claire_Provisioning_Validation,10,9
17aug_Claire_Provisioning_Validation1,0,0
17aug_Claire_Provisioning_Validation2,10,9
17aug_Claire_Provisioning_Validation3,10,9
17aug_Claire_Upgrade_Validation,10,9
18May_CDMP_QE_01,"4,24,546","3,71,140"
18aug_clairegpt,11,9
20JULY_METERTING_MUKESH,10,9
20June_PLTF_QE05,146,140
21Aug_PlatformQE_01,25,9
21Aug_PlatformQE_02,10,9
21Aug_PlatformQE_03,10,9
21Aug_PlatformQE_04,10,9
21aug_DQ_DEV,102,92
21aug_mkg_qe,28,26
22AUG_BISCANNER_NEW,10,9
22Aug_AdvScanner_QE_N_1,"5,875","9,174"
23June_CDMP_QE,"4,80,638","9,05,280"
23May_IICSQE,"5,50,293","3,07,182"
24Mayperf,"17,19,025","17,21,019"
24Nov_Scanner_CD_QE,"1,01,258","1,01,354"
25JULY_CDI_DEV,547,569
25Jan_Model_CD,0,0
25Jan_mkg_orchestration_cd,0,0
25Jan_tenant,0,0
25JulyIICS_PlatformDev,12,9
25May_Scanner_QE,"34,11,073","43,00,235"
26May_PerfQE_01,"45,11,692","42,06,425"
26May_PerfQE_02,"20,39,420","24,33,453"
27June_BulkImport_MKG_CI,"40,013","5,095"
27June_MKG_QE,"50,73,816","50,76,773"
27June_SAPScanner_DEV,"8,473","14,579"
27Oct_CDMP_Perf_QE,"4,85,401","15,18,647"
28thJune_julyExcel_QE,"38,83,700","43,40,950"
31July_Perf_QE1,"99,29,236","1,13,38,491"
31July_Perf_QE2,"2,62,51,774","2,70,53,115"
