TenantId,Tenant,Objects,Relationship
34QbCevaVKhdAqGA4U9Z6n,Informatica,"16,667,124","12,222,687"
llCWjLEv0Ydlb1lAIP5cOa,"INFA CDGC PM","7,076,590","1,493,395"
1zjeVZ4V60dgIpZ8HbrcwY,"WAWA_PROD_DGDC","5,396,441","7,267,978"
3Ey1itf8xjkdyvSEYC52yQ,"Takeda Pharmceuticals USA, Inc - TEST","4,205,153","1,958,992"
aW2AyAEfIOrcZoYhcweSQs,Development,"3,797,840","3,091,312"
2r6BhKNzwv4gZ3NlHoPbAD,"DEV EMC IICS","3,784,807","377,643"
5kvbeE48xOHhmxgXdIQWMk,"Gilead-dev","3,648,262","5,320,841"
8bqtWxXvrKygzHZ0zx6jmY,"McGraw Hill - Dev","3,122,400","98,914"
6s3ltllah8Oh2TMVfMFNah,"Data Analytics Cloud","2,984,162","253,855"
53BcMoItR5GcYRBPdkDfS4,QEProfilingApril23US1,"2,777,298","2,792,577"
iJTQxEsBckPj6ouidWC6Wl,"CDGC/CDQ - Cox Enterprises, Inc. - DEV","2,377,442","3,637,463"
aa4xXYWHQqqeutHAom16Ag,"ODIN1_V2_NAPOD4","2,146,246","1,734,035"
5lHmc9OYTvzexcJETxPDWN,"Gilead-tst","1,962,388","982,450"
30H6KQNJnoccYRwNofi0E9,Informatica,"1,843,338","2,272,371"
54hoJsI9HkCb6ZxKV4T9Cy,Gilead,"1,769,204","2,601,854"
agDNBoMH10wcdc8XhyhVGt,"Memorial Sloan-Kettering Cancer Center","1,725,345","1,725,317"
87AkFBBVuc5lpFYclXMZaT,"Grady Health System","1,693,014","2,091,627"
ahTOwWSy8l4kxZhjt3neGb,"TA Operating LLC","1,656,948","1,886,933"
8BsM05gKj8XdRAKFDq8qOh,"American Red Cross Production","1,576,660","1,684,766"
62yvPIigH0vfndAP2xVfW3,"ODIN1_V2_NAPOD1","1,571,445","39,929"
0QriY8cLukIeIUc5y2vOqd,"Independent Bank Group, Inc.","1,526,641","2,305,648"
7suQrQrhjkdddhiRwz6OQO,dv,"1,404,849","1,958,686"
aALOON4iZAIlTqFDeJEZCF,"Fossil Partners, L.P.","1,358,672","1,091,162"
3o1BJyJAhJ6cqpGFvp1N4i,"ORIX Corporation USA - Dev","1,274,063","129,781"
lM9x3DDOou8k2lKnTSzrOU,"Abercrombie & Fitch Management Co.","1,227,596","2,105,171"
1QCg0SJUKa0dhENsKiWYkb,"Takeda Pharmaceuticals USA, Inc - PROD","1,220,588","1,261,695"
1PtKcsnXawdiVlEdPufjky,"BMC Software, Inc.","1,147,646","1,501,686"
3aCak1taOxBhyBTaxLJVGe,"Unity CDGC Sandbox v2","1,109,289","1,479,332"
9VAqEl4ewv4eke4ePAZWok,"Janus Henderson Investors US LLC","1,100,950","1,546,522"
6z4MEiNasCRj8oe0kc6ykm,"WI DOT","1,034,153","1,703,855"
a10ycKy930tldM7akJ0fIc,"American Red Cross - Development","1,033,250","1,066,587"
aHcWQFKAFcgdpLzAF3WtCu,"Claro_CDGC_PRD","982,859","1,250,202"
7oyyYIgALobclVSTz8TIW2,"ARC TEST Environment","979,808","1,294,774"
