index,shard,prirep,ip,segment,generation,docs.count,docs.deleted,size,size.memory,committed,searchable,version,compound,timestamp,username,volume,segments_count
devprod-6th6lozey39k63bbyba3qc-mkg_document_store-ccgf-contentv2,0,p,x.x.x.x,_2,2,19,0,35.8kb,11804,true,true,8.2.0,true,,,,2
devprod-6th6lozey39k63bbyba3qc-mkg_document_store-ccgf-contentv2,0,r,x.x.x.x,_2,2,19,0,35.8kb,11804,true,true,8.2.0,true,,,,2
devprod-6d8r6nhqlsxgc1wbouelql-mkg_document_store-ccgf-contentv2,0,r,x.x.x.x,_57o,6756,1017996,3,628.6mb,220140,true,true,8.2.0,false,,,,42
devprod-6d8r6nhqlsxgc1wbouelql-mkg_document_store-ccgf-contentv2,0,r,x.x.x.x,_73f,9195,1357933,0,1gb,531124,true,true,8.2.0,false,,,,42
devprod-6d8r6nhqlsxgc1wbouelql-mkg_document_store-ccgf-contentv2,0,r,x.x.x.x,_7gd,9661,15051,0,12.5mb,16420,true,true,8.2.0,true,,,,42
devprod-6d8r6nhqlsxgc1wbouelql-mkg_document_store-ccgf-contentv2,0,r,x.x.x.x,_7gw,9680,37866,0,13.2mb,19828,true,true,8.2.0,true,,,,42
devprod-6d8r6nhqlsxgc1wbouelql-mkg_document_store-ccgf-contentv2,0,r,x.x.x.x,_7i0,9720,18502,0,7.2mb,17092,true,true,8.2.0,true,,,,42
devprod-6d8r6nhqlsxgc1wbouelql-mkg_document_store-ccgf-contentv2,0,r,x.x.x.x,_7mu,9894,227335,0,95.1mb,62788,true,true,8.2.0,true,,,,42
devprod-6d8r6nhqlsxgc1wbouelql-mkg_document_store-ccgf-contentv2,0,r,x.x.x.x,_7no,9924,19010,0,7.1mb,17788,true,true,8.2.0,true,,,,42
devprod-6d8r6nhqlsxgc1wbouelql-mkg_document_store-ccgf-contentv2,0,r,x.x.x.x,_7np,9925,1,0,11.8kb,5052,true,true,8.2.0,true,,,,42
devprod-6d8r6nhqlsxgc1wbouelql-mkg_document_store-ccgf-contentv2,0,r,x.x.x.x,_7ny,9934,1,0,21.5kb,11660,true,true,8.2.0,true,,,,42
devprod-6d8r6nhqlsxgc1wbouelql-mkg_document_store-ccgf-contentv2,0,r,x.x.x.x,_7o2,9938,22598,150,17.6mb,22684,true,true,8.2.0,true,,,,42
devprod-6d8r6nhqlsxgc1wbouelql-mkg_document_store-ccgf-contentv2,0,r,x.x.x.x,_7o3,9939,316,0,272.1kb,11828,true,true,8.2.0,true,,,,42
devprod-6d8r6nhqlsxgc1wbouelql-mkg_document_store-ccgf-contentv2,0,r,x.x.x.x,_7o4,9940,1,0,11.6kb,5052,true,true,8.2.0,true,,,,42
