Cluster,Node,Namespace,Pod,CPURequests (cores),MemoryRequests (Mi),CDGC CPU % Utilization,CDGC Mem % Utilization,Total CPU % Utilization,Total Mem % Utilization
intcloud-ccgf-eks-devprod-usw2,ip-10-21-120-72.us-west-2.compute.internal,ccgf-devprod-argowf,argo-server-6f85f4768-n4x4f,0.20,512,,,,
intcloud-ccgf-eks-devprod-usw2,ip-10-21-120-72.us-west-2.compute.internal,ccgf-devprod-hawk-func,ccgf-devprod-hawk-func-internal-ccgf-gateway-665f686bc4-pkzzv,0.10,1024,,,,
intcloud-ccgf-eks-devprod-usw2,ip-10-21-120-72.us-west-2.compute.internal,ccgf-devprod-hawk-func,cdq-recommendation-1-0-0-271-78cd46867f-7vrtf,0.20,3328,,,,
intcloud-ccgf-eks-devprod-usw2,ip-10-21-120-72.us-west-2.compute.internal,ccgf-devprod-hawk-func,cdq-task-data-store-2-6-0-121-7796fbc58f-w7r8b,0.20,5120,,,,
intcloud-ccgf-eks-devprod-usw2,ip-10-21-120-72.us-west-2.compute.internal,ccgf-devprod-hawk-func,hawk-filebeat-elastic-ds-z52dh,0.10,200,,,,
intcloud-ccgf-eks-devprod-usw2,ip-10-21-120-72.us-west-2.compute.internal,ccgf-devprod-hawk-func,icd-dataprep-1-21-1-1176-59f647c45d-bmfcb,0.20,2560,,,,
intcloud-ccgf-eks-devprod-usw2,ip-10-21-120-72.us-west-2.compute.internal,ccgf-devprod-hawk-mgmt,ccgf-auth-pep-2-0-0-147-6f4d4bd796-bzptx,0.20,4024,,,,
intcloud-ccgf-eks-devprod-usw2,ip-10-21-120-72.us-west-2.compute.internal,ccgf-devprod-hawk-mgmt,hawk-filebeat-elastic-ds-dg9kk,0.30,300,,,,
intcloud-ccgf-eks-devprod-usw2,ip-10-21-120-72.us-west-2.compute.internal,csoc-qa-secops,cortex-xdr-r7mvk,0.20,600,,,,
intcloud-ccgf-eks-devprod-usw2,ip-10-21-120-72.us-west-2.compute.internal,ct-cloudability,cloudability-cloudability-metric-agent-6cf4bd8996-5kqwl,0.10,128,,,,
intcloud-ccgf-eks-devprod-usw2,ip-10-21-120-72.us-west-2.compute.internal,kube-system,aws-node-6vfl9,0.03,0,,,,
intcloud-ccgf-eks-devprod-usw2,ip-10-21-120-72.us-west-2.compute.internal,kube-system,ebs-csi-node-98hlz,0.03,384,,,,
intcloud-ccgf-eks-devprod-usw2,ip-10-21-120-72.us-west-2.compute.internal,kube-system,efs-csi-node-g2n4q,0.10,128,,,,
intcloud-ccgf-eks-devprod-usw2,ip-10-21-120-72.us-west-2.compute.internal,kube-system,kube-proxy-2qdf5,0.10,0,,,,
intcloud-ccgf-eks-devprod-usw2,ip-10-21-120-72.us-west-2.compute.internal,lamm,auditbeat-ct-auditbeat-j5n5q,0.10,100,,,,
intcloud-ccgf-eks-devprod-usw2,ip-10-21-120-72.us-west-2.compute.internal,lamm,fluent-bit-l2j6j,0.50,1024,,,,
intcloud-ccgf-eks-devprod-usw2,ip-10-21-120-72.us-west-2.compute.internal,lamm,monitoringaddon-prometheus-node-exporter-rwbkx,0.00,0,,,,
intcloud-ccgf-eks-devprod-usw2,ip-10-21-120-72.us-west-2.compute.internal,stackrox,collector-xj8jg,0.06,330,,,,
intcloud-ccgf-eks-devprod-usw2,ip-10-21-120-72.us-west-2.compute.internal,Total,18,2.72,19762,18.75%,53.95%,33.94%,62.47%
intcloud-ccgf-eks-devprod-usw2,ip-10-21-119-58.us-west-2.compute.internal,ccgf-devprod-argowf,argo-server-6f85f4768-q8cct,0.20,512,,,,
